Time [s],Channel 0,Channel 4,Channel 5
0.000000000,0,0,1
0.000328083,0,0,0
0.000330458,1,0,0
0.000331583,0,0,0
0.000332875,1,0,0
0.000334000,0,0,0
0.000335250,1,0,0
0.000336375,0,0,0
0.000337625,1,0,0
0.000338750,0,0,0
0.000340042,1,0,0
0.000341167,0,0,0
0.000341792,0,1,0
0.000342542,1,1,0
0.000343667,0,1,0
0.000345083,1,1,0
0.000346208,0,1,0
0.000347583,1,1,0
0.000348583,0,1,0
0.000349583,0,0,0
0.000350458,1,0,0
0.000352000,0,0,0
0.000352500,1,0,0
0.000354000,0,1,0
0.000354500,1,1,0
0.000356000,0,1,0
0.000356042,0,0,0
0.000356500,1,0,0
0.000358042,0,1,0
0.000358542,1,1,0
0.000360042,0,1,0
0.000360542,1,1,0
0.000362042,0,1,0
0.000362583,1,1,0
0.000364083,0,0,0
0.000364583,1,0,0
0.000365958,0,0,0
0.000366708,0,0,1
0.000366917,0,1,1
0.000371500,0,1,0
0.000374125,1,1,0
0.000375292,0,1,0
0.000376667,1,1,0
0.000377792,0,1,0
0.000379167,1,1,0
0.000380333,0,1,0
0.000381083,0,0,0
0.000381583,1,0,0
0.000382708,0,0,0
0.000383958,1,0,0
0.000385083,0,0,0
0.000386375,1,0,0
0.000387500,0,0,0
0.000388750,1,0,0
0.000389875,0,0,0
0.000390500,0,1,0
0.000391250,1,1,0
0.000392250,0,1,0
0.000394542,0,0,0
0.000395042,1,0,0
0.000396167,0,0,0
0.000397417,1,0,0
0.000398542,0,0,0
0.000399833,1,0,0
0.000400958,0,0,0
0.000402208,1,0,0
0.000403333,0,0,0
0.000404583,1,0,0
0.000405750,0,0,0
0.000407000,1,0,0
0.000408125,0,0,0
0.000409375,1,0,0
0.000410500,0,0,0
0.000411792,1,0,0
0.000412792,0,0,0
0.000413542,0,0,1
0.000417208,0,0,0
0.000419083,0,1,0
0.000419833,1,1,0
0.000420958,0,1,0
0.000422333,1,1,0
0.000423500,0,1,0
0.000424875,1,1,0
0.000426000,0,1,0
0.000426750,0,0,0
0.000427250,1,0,0
0.000428375,0,0,0
0.000429667,1,0,0
0.000430792,0,0,0
0.000432042,1,0,0
0.000433167,0,0,0
0.000433792,0,1,0
0.000434583,1,1,0
0.000435708,0,1,0
0.000436458,0,0,0
0.000436958,1,0,0
0.000437958,0,0,0
0.000440750,1,0,0
0.000441875,0,0,0
0.000443125,1,0,0
0.000444250,0,0,0
0.000445500,1,0,0
0.000446667,0,0,0
0.000447917,1,0,0
0.000449042,0,0,0
0.000450292,1,0,0
0.000451458,0,0,0
0.000452708,1,0,0
0.000453833,0,0,0
0.000455083,1,0,0
0.000456208,0,0,0
0.000457500,1,0,0
0.000458500,0,0,0
0.000459250,0,0,1
0.000463000,0,0,0
0.000465542,1,0,0
0.000466667,0,0,0
0.000467917,1,0,0
0.000469042,0,0,0
0.000469708,0,1,0
0.000470458,1,1,0
0.000471583,0,1,0
0.000472333,0,0,0
0.000472833,1,0,0
0.000473958,0,0,0
0.000475250,1,0,0
0.000476375,0,0,0
0.000477000,0,1,0
0.000477750,1,1,0
0.000478875,0,1,0
0.000480250,1,1,0
0.000481417,0,1,0
0.000482792,1,1,0
0.000483792,0,1,0
0.000486042,0,0,0
0.000486583,1,0,0
0.000487708,0,0,0
0.000488333,0,1,0
0.000489083,1,1,0
0.000490208,0,1,0
0.000491583,1,1,0
0.000492750,0,1,0
0.000494125,1,1,0
0.000495250,0,1,0
0.000496000,0,0,0
0.000496500,1,0,0
0.000497667,0,0,0
0.000498917,1,0,0
0.000500042,0,0,0
0.000501292,1,0,0
0.000502417,0,0,0
0.000503708,1,0,0
0.000504708,0,0,0
0.000505458,0,0,1
0.003339375,0,0,0
0.003341250,0,1,0
0.003342000,1,1,0
0.003343167,0,1,0
0.003344542,1,1,0
0.003345667,0,1,0
0.003347042,1,1,0
0.003348208,0,1,0
0.003348958,0,0,0
0.003349458,1,0,0
0.003350583,0,0,0
0.003351833,1,0,0
0.003352958,0,0,0
0.003354250,1,0,0
0.003355375,0,0,0
0.003356625,1,0,0
0.003357750,0,0,0
0.003358375,0,1,0
0.003359125,1,1,0
0.003360167,0,1,0
0.003362417,0,0,0
0.003362917,1,0,0
0.003364042,0,0,0
0.003365292,1,0,0
0.003366458,0,0,0
0.003367708,1,0,0
0.003368833,0,0,0
